Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.05013361,-0.06654543,0.1578076,-0.55677,0.06290625,0.8008062,19.79807,-15.16924,-29.75585,990.3851
0.004918575,-0.05008267,-0.3033985,-0.02504555,-0.5562296,0.06040103,0.8046057,19.79807,-15.16924,-29.75585,990.3851
0.009836674,0.07351289,-0.007061312,-0.02502986,-0.5562291,0.06281091,0.8061396,19.79807,-15.16924,-29.75585,990.3851
0.014755249,-0.1118989,-0.1255044,0.2187153,-0.5573098,0.0644457,0.7964902,19.79807,-15.16924,-29.75585,990.3851
0.019673347,0.01171611,-0.2438916,0.2795151,-0.5630049,0.05345175,0.8078373,19.79807,-15.16924,-29.75585,990.3851
0.024591923,0.07349078,-0.1845612,0.4011755,-0.5582656,0.06294739,0.7979066,19.79807,-15.16924,-29.75585,990.3834
0.029510498,0.07342522,-0.1844824,0.1572515,-0.5567569,0.05805928,0.7991942,19.79807,-15.16924,-29.75585,990.3834
0.034428597,0.07341797,-0.1843664,0.2180707,-0.5557864,0.07110144,0.8064018,19.79807,-15.16924,-29.75585,990.3834
0.041806221,0.01160557,-0.2435002,0.1569855,-0.5625895,0.05407963,0.800571,19.79807,-15.16924,-29.75585,990.3834
0.046724796,0.135143,-0.06566674,0.03507003,-0.5572429,0.06335296,0.8027666,19.79807,-15.16924,-29.75585,990.3834
0.051642895,0.1968984,-0.1248585,0.27872,-0.5591715,0.06424661,0.8062098,19.80829,-15.19687,-28.92582,990.3834
0.056561470,0.0731523,-0.006276772,0.2176078,-0.5577502,0.06241905,0.8003132,19.80829,-15.19687,-28.92582,990.3834
0.061479568,-0.05043836,0.05294165,0.2784082,-0.5582322,0.05950826,0.7992527,19.80829,-15.19687,-28.92582,990.386
0.066398144,-0.05038724,-0.1840237,0.2173536,-0.5577327,0.06431431,0.803287,19.80829,-15.19687,-28.92582,990.386
0.071316719,0.1350488,0.1122571,0.03444394,-0.5562627,0.06046452,0.8012093,19.80829,-15.19687,-28.92582,990.386
0.076234818,0.01138041,-0.1246525,0.3999686,-0.5568019,0.06441385,0.7984272,19.80829,-15.19687,-28.92582,990.386
0.081153393,-0.1740117,-0.1245741,0.1560262,-0.5601768,0.05657512,0.7986891,19.80829,-15.19687,-28.92582,990.386
0.086071968,0.01146319,-0.2429619,0.09499104,-0.5602031,0.06626906,0.8019133,19.80829,-15.19687,-28.92582,990.386
0.090990067,0.07323803,-0.06514744,0.2777428,-0.5557784,0.06385366,0.8027706,19.80829,-15.19687,-28.92582,990.386
0.095908642,0.1349935,-0.06508789,0.09477606,-0.5567086,0.06278835,0.8071139,19.80829,-15.19687,-28.92582,990.386
0.100827217,0.134967,-0.06504698,0.3993831,-0.5592268,0.06242391,0.7993543,20.18215,-15.20004,-28.92501,990.386
0.108204365,-0.112269,-0.005808557,0.216291,-0.557736,0.06239185,0.8017688,20.18215,-15.20004,-28.92501,990.3843
0.113122940,-0.05045528,-0.005749112,0.2161551,-0.5606267,0.05794225,0.8035919,20.18215,-15.20004,-28.92501,990.3843
0.118041515,-0.05042356,-0.3018176,0.03318875,-0.5601894,0.06383198,0.8018351,20.18215,-15.20004,-28.92501,990.3843
0.122959614,-0.1740142,-0.3016466,0.1550613,-0.5543402,0.06151147,0.7983139,20.18215,-15.20004,-28.92501,990.3843
0.127878189,-0.05032139,-0.301513,0.2158628,-0.5567551,0.06191328,0.8017454,20.18215,-15.20004,-28.92501,990.3843
0.132796288,-0.05028979,-0.242072,-0.02802147,-0.5572429,0.06335296,0.8027666,20.18215,-15.20004,-28.92501,990.3843
0.137714863,-0.1738611,-0.06423938,0.1547884,-0.5582747,0.06875107,0.8005205,20.18215,-15.20004,-28.92501,990.3843
0.142633438,-0.1119504,-0.06419893,0.1547103,-0.561622,0.06182368,0.8042101,20.18215,-15.20004,-28.92501,990.3826
0.147551537,-0.1737204,-0.06417722,-0.08913542,-0.5596855,0.06284342,0.8027703,19.80919,-15.91741,-29.33138,990.3826
