Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.004917622,-0.02798895,-0.1112239,0.02196567,-0.5374576,0.04622548,0.8151645,36.37669,-1.891024,-35.95534,990.3917
0.009836197,0.03381072,0.1256852,-0.03890869,-0.5359091,0.04174316,0.8208345,36.37669,-1.891024,-35.95534,990.3917
0.014754295,0.09559093,-0.1112701,-0.03892252,-0.5379179,0.03941534,0.8139789,37.81765,-2.223594,-35.51467,990.3917
0.019672871,-0.02805262,0.1256761,0.143875,-0.5335431,0.04673924,0.8156344,37.81765,-2.223594,-35.51467,990.3917
0.024590969,0.15735,0.06638268,0.02196779,-0.5384166,0.04280471,0.8150627,37.81765,-2.223594,-35.51467,990.3917
0.029512882,-0.1517174,0.007126521,0.02197311,-0.5393708,0.03937486,0.8154461,37.81765,-2.223594,-35.51467,990.3917
0.034427643,0.09550615,0.066355,-0.1608713,-0.5345567,0.04053,0.8081606,37.81765,-2.223594,-35.51467,990.39
0.039348602,-0.08993883,0.007043004,0.02200293,-0.5383936,0.04372513,0.8180053,37.81765,-2.223594,-35.51467,990.39
0.044263840,-0.1516644,0.1847562,-0.09984687,-0.5345343,0.03904053,0.8095692,37.81765,-2.223594,-35.51467,990.39
0.049182415,0.09555909,-0.0522734,0.02203272,-0.5393628,0.04128825,0.8174495,37.81765,-2.223594,-35.51467,990.39
0.054100513,0.03367812,0.06616966,-0.03887997,-0.531542,0.04040236,0.8163859,37.81765,-2.223594,-35.51467,990.39
0.061477661,-0.08991779,0.06618175,0.0219981,-0.5384486,0.04768796,0.814734,37.81765,-2.223594,-35.51467,990.39
0.066396713,0.09552372,0.006907162,0.02192686,-0.5384282,0.04572015,0.8156418,37.06993,-2.217255,-35.51628,990.39
0.071314335,0.03373991,0.06609857,0.2657,-0.5359409,0.04325077,0.8184554,37.06993,-2.217255,-35.51628,990.39
0.076232910,-0.028141,-0.05239037,-0.03913355,-0.5393881,0.04664078,0.8181069,37.06993,-2.217255,-35.51628,990.3884
0.081151009,0.1573005,0.1253044,0.02178987,-0.5363935,0.04172967,0.8213236,37.06993,-2.217255,-35.51628,990.3884
0.086069584,0.03359877,0.006796861,0.1436313,-0.5335213,0.0428399,0.8155091,37.06993,-2.217255,-35.51628,990.3884
0.090992928,-0.02822383,0.06600691,-0.0392512,-0.5360068,0.04916327,0.8152468,37.06993,-2.217255,-35.51628,990.3884
0.095906258,0.03355655,0.06598409,0.1435466,-0.5384241,0.0433012,0.8145931,37.06993,-2.217255,-35.51628,990.3884
0.100824356,0.03361315,-0.0524862,-0.1611336,-0.5358967,0.03786196,0.8197389,37.06993,-2.217255,-35.51628,990.3884
0.105748177,-0.02822891,0.2436932,-0.03919633,-0.537889,0.04177081,0.8184239,37.06993,-2.217255,-35.51628,990.3884
0.110660553,-0.02819176,0.006626662,0.08270259,-0.5359695,0.04668083,0.8175945,37.06993,-2.217255,-35.51628,990.3884
0.115584850,0.09535126,0.2435174,-0.1001033,-0.5363806,0.04025835,0.8217618,37.06993,-2.217255,-35.51628,990.3826
0.120497227,0.09531076,0.0657211,0.02177639,-0.5408447,0.03889231,0.8144717,37.06993,-2.217255,-35.51628,990.3826
0.127874374,-0.02838196,0.06567771,0.08267388,-0.5402794,0.0411615,0.8237649,37.06993,-2.217255,-35.51628,990.3826
0.132792950,0.09519998,0.1841024,0.08260281,-0.5384124,0.04038576,0.814014,37.06993,-2.217255,-35.51628,990.3826
0.137711048,-0.09022537,0.1247352,0.08253177,-0.5379445,0.04332377,0.8136188,37.06993,-2.217255,-35.51628,990.3826
0.142629147,0.1570372,-0.171471,0.02158109,-0.5370029,0.04484928,0.8107468,37.06993,-2.217255,-35.51628,990.3826
0.147547722,0.03337444,0.1840162,0.08242809,-0.5378855,0.04031762,0.8178918,37.06993,-2.217255,-35.51628,990.3826
0.152465820,0.0332758,-0.2306934,0.08239545,-0.5365055,0.04001581,0.8086456,37.06993,-2.217255,-35.51628,990.3826
0.157384396,-0.02854656,-0.1121382,0.08236284,-0.5335327,0.04237968,0.8140379,37.06993,-2.217255,-35.51628,990.3826
0.162302017,-0.09031068,0.006305139,0.1431908,-0.5388662,0.03742054,0.8158648,37.06479,-1.545073,-35.49568,990.3826
0.167221069,-0.02835543,-0.1121649,0.14312,-0.5335531,0.0443475,0.8131301,37.06479,-1.545073,-35.49568,990.3826
0.172140122,-0.0901973,-0.05288005,0.0211941,-0.5378358,0.04311517,0.8247786,37.06479,-1.545073,-35.49568,990.3826
0.177057266,0.09522492,0.2432626,0.1430551,-0.543242,0.02865255,0.8131919,37.06479,-1.545073,-35.49568,990.3826
