Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.2298105,0.05377331,-0.1542366,-0.4096433,-0.08066067,0.9056976,11.04908,17.42294,-30.95054,990.0416
0.004917145,0.1410844,-0.1239409,0.02865255,-0.4120354,-0.08849962,0.906437,11.04908,17.42294,-30.95054,990.0416
0.009834766,-0.1679533,0.1130691,-0.09323974,-0.4077471,-0.0824566,0.8983414,11.04908,17.42294,-30.95054,990.0383
0.014751911,-0.04424487,-0.1239154,-0.03230147,-0.4131427,-0.08633207,0.8943772,11.04908,17.42294,-30.95054,990.0383
0.019669056,0.07938589,-0.06458588,-0.03224287,-0.4091755,-0.08688384,0.8996679,11.04908,17.42294,-30.95054,990.0383
0.024586678,0.01757337,0.05393933,-0.03224174,-0.4127157,-0.0760828,0.8942168,11.04908,17.42294,-30.95054,990.0383
0.029503822,-0.1060406,0.2907631,-0.09312034,-0.4141202,-0.08393103,0.8959188,11.04908,17.42294,-30.95054,990.0383
0.034420967,0.01759006,-0.00549178,0.02877417,-0.410174,-0.08492488,0.8987678,11.04908,17.42294,-30.95054,990.0383
0.041797161,-0.04415036,-0.005375037,0.02882361,-0.4101672,-0.08445559,0.8997538,11.04908,17.42294,-30.95054,990.0383
0.046713829,-0.1059629,-0.06460464,0.1506798,-0.4125143,-0.08948795,0.9068947,11.42855,16.68648,-30.9722,990.0383
0.051630974,-0.167659,0.1723495,-0.03226459,-0.4087489,-0.0824201,0.8959231,11.42855,16.68648,-30.9722,990.0392
0.056548119,-0.04398958,-0.183157,-0.09316231,-0.4082449,-0.08340865,0.8968584,11.42855,16.68648,-30.9722,990.0392
0.061465263,-0.04400073,-0.06461301,0.02871307,-0.4126005,-0.08160764,0.9027783,11.42855,16.68648,-30.9722,990.0392
0.066382885,-0.04397313,-0.1238241,0.08963218,-0.4072531,-0.08583689,0.8967724,11.42855,16.68648,-30.9722,990.0392
0.071300030,0.0178171,0.1131299,-0.09323555,-0.4135934,-0.08399916,0.8997966,11.42855,16.68648,-30.9722,990.0392
0.076217175,0.01782529,0.0538444,0.08963446,-0.4096775,-0.08541694,0.8992334,11.42855,16.68648,-30.9722,990.0392
0.081134796,-0.1675903,-0.06463685,-0.1541321,-0.4102762,-0.08087136,0.8906444,11.42855,16.68648,-30.9722,990.0392
0.086051941,-0.0439015,-0.06448463,-0.03223758,-0.4160615,-0.08494171,0.8968734,11.42855,16.68648,-30.9722,990.0392
0.090969086,-0.04385451,-0.06444416,0.02873894,-0.4092148,-0.08487975,0.8968192,11.42855,16.68648,-30.9722,990.0436
0.095886707,0.07977601,-0.005245071,-0.03217797,-0.4096822,-0.08540787,0.8987482,11.43327,16.67372,-30.58912,990.0436
0.103262424,-0.1057618,-0.06445456,0.1506255,-0.4082147,-0.07960907,0.9023208,11.43327,16.67372,-30.58912,990.0436
0.108179569,0.0178882,-0.005199753,0.02873313,-0.4146024,-0.08684183,0.8948584,11.43327,16.67372,-30.58912,990.0436
0.113097191,-0.04388564,-0.005196589,-0.03222209,-0.4096889,-0.08587715,0.8977622,11.43327,16.67372,-30.58912,990.0436
0.118014336,0.07978373,0.05403969,-0.03224011,-0.4082815,-0.08189198,0.8939941,11.43327,16.67372,-30.58912,990.0436
0.122931480,0.01787393,-0.06447897,0.02873641,-0.4135289,-0.08798013,0.9040382,11.43327,16.67372,-30.58912,990.0436
0.127848625,-0.04391937,0.05399041,-0.03221881,-0.4112028,-0.08338985,0.8944556,11.43327,16.67372,-30.58912,990.0436
0.132766247,0.07973056,-0.00522066,0.02871941,-0.4052437,-0.08447484,0.9031116,11.43327,16.67372,-30.58912,990.0419
0.137683392,-0.1057045,-0.06446902,0.08965765,-0.4102113,-0.08244245,0.89642,11.43327,16.67372,-30.58912,990.0419
0.142600536,0.01794539,0.05400036,-0.03227296,-0.4184563,-0.08313207,0.903263,11.43327,16.67372,-30.58912,990.0419
0.147518158,-0.1057077,-0.005266544,0.02866532,-0.4101732,-0.08589065,0.8982512,11.42575,17.05313,-30.96097,990.0419
0.152435303,0.0797243,-0.06453355,0.08954615,-0.4125956,-0.08499235,0.9012132,11.42575,17.05313,-30.96097,990.0419
0.157351971,0.01789221,-0.005297171,0.08954734,-0.4077393,-0.08970438,0.8947102,11.42575,17.05313,-30.96097,990.0419
0.162269115,-0.1057608,0.05390192,0.02859224,-0.4092411,-0.08434698,0.8944088,11.42575,17.05313,-30.96097,990.0419
0.167186260,0.0178892,-0.06457933,0.02855512,-0.4121332,-0.08107952,0.9008492,11.42575,17.05313,-30.96097,990.0419
0.174562454,0.1414559,-0.005248236,-0.09332694,-0.4062252,-0.0830305,0.9036514,11.42575,17.05313,-30.96097,990.043
0.179479599,0.07958499,0.1723983,0.02854853,-0.4115966,-0.08454143,0.903647,11.42575,17.05313,-30.96097,990.043
0.184396744,0.0177335,0.17229,-0.03238742,-0.4091655,-0.08449209,0.902172,11.42575,17.05313,-30.96097,990.043
0.189314365,0.0176641,-0.005461493,0.02855091,-0.4116777,-0.08342148,0.895915,11.42575,17.05313,-30.96097,990.043
0.194231510,0.1413142,0.1130266,-0.2151582,-0.4101703,-0.08975372,0.8961852,11.42575,17.05313,-30.96097,990.043
0.199148655,0.07940458,-0.06468759,0.02866813,-0.4101956,-0.08440118,0.8968425,10.67803,17.05946,-30.96258,990.043
0.204066277,0.1411562,-0.1238986,-0.03230618,-0.4096638,-0.08785403,0.8991551,10.67803,17.05946,-30.96258,990.043
0.208983421,0.01754224,-0.1237649,-0.0323242,-0.4151024,-0.08489658,0.8949248,10.67803,17.05946,-30.96258,990.0439
0.213900566,-0.1678149,-0.06450994,-0.09324105,-0.4101718,-0.08782218,0.8972182,10.67803,17.05946,-30.96258,990.0439
0.218818188,0.07941879,-0.06443218,-0.03230278,-0.4097561,-0.08140877,0.8935362,10.67803,17.05946,-30.96258,990.0439
0.223735333,0.07940776,-0.06439172,-0.0323399,-0.4106306,-0.08402702,0.9026846,10.67803,17.05946,-30.96258,990.0439
0.228652477,-0.04422565,-0.3012647,-0.0323387,-0.4092514,-0.08336308,0.8939549,10.67803,17.05946,-30.96258,990.0439
0.233569622,0.07944396,0.05419237,-0.03229926,-0.4121793,-0.08870588,0.89138,10.67803,17.05946,-30.96258,990.0439
0.238487244,-0.1678312,-0.06432629,-0.03229813,-0.4091964,-0.08732591,0.8972262,10.67803,17.05946,-30.96258,990.0439
0.243404388,0.1412815,0.05419881,0.02860189,-0.4112392,-0.08524883,0.889541,10.67803,17.05946,-30.96258,990.0439
0.250780582,0.07938583,-0.123384,0.1504492,-0.4116386,-0.08204994,0.9008141,11.05941,16.67689,-30.58992,990.0448
0.255697727,0.1411375,-0.06409213,-0.09335557,-0.4120342,-0.0870555,0.9074543,11.05941,16.67689,-30.58992,990.0448
0.260614872,0.07928614,-0.1232662,0.02857736,-0.4087504,-0.08048857,0.8969561,11.05941,16.67689,-30.58992,990.0448
0.265532017,0.07925577,-0.123226,0.02854024,-0.4106115,-0.08743895,0.902575,11.05941,16.67689,-30.58992,990.0448
0.270448685,0.1410075,0.05451321,0.2113338,-0.4112048,-0.0838682,0.8939548,11.05941,16.67689,-30.58992,990.0448
0.275366306,0.1408994,0.05451615,-0.03249017,-0.4087307,-0.08149061,0.8983805,11.05941,16.67689,-30.58992,990.0448
0.280283451,0.01724681,-0.004713908,-0.1543823,-0.4097264,-0.08001907,0.8974648,11.05941,16.67689,-30.58992,990.0448
0.285200596,-0.04460433,-0.1231212,0.1503621,-0.4107158,-0.08386377,0.8939509,11.05941,16.67689,-30.58992,990.0448
0.290117741,0.07900721,-0.004615021,0.02846987,-0.4096939,-0.08249244,0.8993273,11.05941,16.67689,-30.58992,990.0475
0.295035362,0.07897697,-0.1230782,0.1503071,-0.4125923,-0.08306989,0.9027314,11.05189,17.0563,-30.96177,990.0475
0.299952507,0.01712589,-0.06380507,-0.09345931,-0.4087479,-0.08676151,0.8933563,11.05189,17.0563,-30.96177,990.0475
0.304871082,-0.04468634,-0.004531956,0.02839712,-0.4087223,-0.08632851,0.8962831,11.05189,17.0563,-30.96177,990.0475
0.309787273,-0.1064791,0.2916174,0.02836012,-0.4116395,-0.09024534,0.8956959,11.05189,17.0563,-30.96177,990.0475
0.317162991,-0.04463558,-0.1231025,0.2111257,-0.4072613,-0.08437463,0.8968194,11.05189,17.0563,-30.96177,990.0475
0.322080135,0.1407775,-0.06377354,-0.03267898,-0.4121355,-0.08734339,0.8967642,11.05189,17.0563,-30.96177,990.0475
0.326997757,0.01710549,-0.004463244,-0.03267762,-0.4087259,-0.08149968,0.8988657,11.05189,17.0563,-30.96177,990.0475
0.331914902,0.0788574,-0.06371206,-0.03267625,-0.4131292,-0.0853935,0.8963493,11.05189,17.0563,-30.96177,990.0486
0.336832047,0.07882727,-0.004420412,0.08921854,-0.412219,-0.0799505,0.8926321,11.05189,17.0563,-30.96177,990.0486
0.341749668,-0.1066073,-0.06366923,-0.03269264,-0.4076942,-0.08689778,0.9011118,11.05189,17.0563,-30.96177,990.0486
0.346666813,-0.0447582,-0.1228809,0.1501393,-0.4141376,-0.08582629,0.8929449,10.68084,16.69282,-30.97382,990.0486
0.351583958,0.07889225,0.05491396,0.08914614,-0.4125794,-0.08454122,0.9031696,10.68084,16.69282,-30.97382,990.0486
0.356501579,0.01704122,-0.1819969,0.08910929,-0.4116267,-0.07917984,0.9038191,10.68084,16.69282,-30.97382,990.0486
0.361418724,-0.04477094,-0.1226867,0.1499522,-0.41457,-0.08593955,0.8987713,10.68084,16.69282,-30.97382,990.0486
0.366340160,0.07882132,-0.2410571,0.1498962,-0.4102071,-0.08486139,0.8953713,10.68084,16.69282,-30.97382,990.0486
0.371253014,0.1405344,-0.06324373,-0.2157442,-0.4087054,-0.08684313,0.8977231,10.68084,16.69282,-30.97382,990.0492
0.376170635,-0.04491945,-0.1816887,-0.09373439,-0.4097513,-0.08141784,0.8940214,10.68084,16.69282,-30.97382,990.0492
0.381087780,0.01692968,-0.06310857,-0.1546318,-0.4057292,-0.08593245,0.9025832,10.68084,16.69282,-30.97382,990.0492
0.386004925,0.01689961,-0.1222647,-0.1545729,-0.4097474,-0.08046114,0.8950231,10.68084,16.69282,-30.97382,990.0492
0.390921593,-0.04495129,-0.181421,-0.154495,-0.4092245,-0.08148597,0.8978992,10.68084,16.69282,-30.97382,990.0492
0.398297787,0.01685374,-0.00358818,-0.1543877,-0.4135309,-0.08845848,0.9035373,11.42103,17.06588,-31.34406,990.0492
0.403214932,-0.0449777,-0.00358592,-0.03243555,-0.4096733,-0.08783589,0.8981847,11.42103,17.06588,-31.34406,990.0492
0.408132076,-0.04491061,-0.1220498,-0.03247261,-0.4111337,-0.08737989,0.8991824,11.42103,17.06588,-31.34406,990.0492
0.413049698,0.01689967,0.1149031,0.08938379,-0.4063068,-0.08432043,0.8943856,11.42103,17.06588,-31.34406,990.0502
0.417966843,-0.1066945,-0.0628309,-0.2153006,-0.4101705,-0.08637807,0.8982356,11.42103,17.06588,-31.34406,990.0502
0.422883988,-0.1684677,-0.1220059,-0.1542474,-0.4091526,-0.08596342,0.9026104,11.42103,17.06588,-31.34406,990.0502
0.427801132,0.07876631,-0.1811623,0.1504778,-0.4135453,-0.08505562,0.9041321,11.42103,17.06588,-31.34406,990.0502
0.432718754,-0.1066293,0.0557906,-0.09328872,-0.4077606,-0.08339515,0.8963693,11.42103,17.06588,-31.34406,990.0502
0.437635899,0.01702118,0.0558114,-0.09324928,-0.4121113,-0.08497886,0.9007241,11.42103,17.06588,-31.34406,990.0502
0.442553043,0.07888959,-0.003400916,-0.03229185,-0.4141744,-0.08093397,0.892131,11.42103,17.06588,-31.34406,990.0502
0.447470665,0.01711622,-0.06266906,0.02868473,-0.4160061,-0.08649466,0.9016785,11.42575,17.05313,-30.96097,990.0502
0.452387810,-0.04469601,0.05585502,0.0286284,-0.4086752,-0.08304356,0.9031856,11.42575,17.05313,-30.96097,990.0469
0.459763527,-0.04463445,-0.1810181,0.0287163,-0.4097018,-0.08440582,0.8973239,11.42575,17.05313,-30.96097,990.0469
0.464681149,-0.1682093,-0.0032983,-0.03220061,-0.409231,-0.08533089,0.8948627,11.42575,17.05313,-30.96097,990.0469
0.469598293,0.0172425,-0.003203143,-0.154093,-0.4111777,-0.08536673,0.8958486,11.42575,17.05313,-30.96097,990.0469
0.474515438,-0.1681533,-0.003163927,-0.1540345,-0.4121451,-0.08394961,0.8978441,11.42575,17.05313,-30.96097,990.0469
0.479433060,-0.1062268,-0.1215908,-0.09303883,-0.4091717,-0.0825515,0.9027199,11.42575,17.05313,-30.96097,990.0469
0.484350205,-0.1679422,0.1153618,-0.03200497,-0.4150894,-0.08636791,0.8953631,11.42575,17.05313,-30.96097,990.0469
0.489267349,-0.04427258,-0.1808013,0.02899059,-0.4091912,-0.08492509,0.8992452,11.42575,17.05313,-30.96097,990.0469
0.494184494,-0.1060462,-0.1215106,-0.1538582,-0.4120822,-0.08599905,0.9031188,11.05941,16.67689,-30.58992,990.0478
0.499102116,-0.1060185,-0.1806859,-0.09280526,-0.4097319,-0.07904424,0.8974961,11.05941,16.67689,-30.58992,990.0478
0.504019261,-0.04409217,-0.1213395,-0.09268951,-0.4067248,-0.08783655,0.8996172,11.05941,16.67689,-30.58992,990.0478
0.508935928,-0.2294495,-0.06204873,-0.09268873,-0.4117392,-0.08330359,0.8896074,11.05941,16.67689,-30.58992,990.0478
0.516311646,-0.1057274,0.05653163,-0.03160682,-0.4077165,-0.0854083,0.8997031,11.05941,16.67689,-30.58992,990.0478
0.521229267,0.07970461,-0.06195131,-0.0925241,-0.4126613,-0.08245551,0.8959541,11.05941,16.67689,-30.58992,990.0478
0.526146412,-0.1675319,-0.1803784,-0.2143403,-0.4087551,-0.0804795,0.896471,11.05941,16.67689,-30.58992,990.0478
0.531063557,-0.1674461,-0.002621914,-0.1532493,-0.4116804,-0.08293407,0.8959307,11.05941,16.67689,-30.58992,990.0471
0.535981178,-0.04375735,-0.3579254,-0.1531722,-0.4091695,-0.08544879,0.9011704,11.05941,16.67689,-30.58992,990.0471
0.540898323,0.0798342,-0.06159125,-0.03122079,-0.410214,-0.08195503,0.8964356,11.05941,16.67689,-30.58992,990.0471
0.545815468,-0.1673636,-0.002338024,-0.09208087,-0.4135832,-0.08498307,0.9002504,11.43136,16.31984,-30.98344,990.0471
0.550733090,-0.2290599,-0.002299374,-0.09200387,-0.4101722,-0.08107089,0.901319,11.43136,16.31984,-30.98344,990.0471
0.555650234,-0.1053131,-0.002316552,-0.03100895,-0.4111406,-0.08447352,0.9002467,11.43136,16.31984,-30.98344,990.0471
0.560567379,0.01831717,-0.2391728,-0.1528255,-0.4096402,-0.08789938,0.9015812,11.43136,16.31984,-30.98344,990.0471
0.565484524,0.01832507,-0.1797523,-0.2746229,-0.407728,-0.08586852,0.8982319,11.43136,16.31984,-30.98344,990.0471
0.570402146,0.08009561,-0.001977624,-0.03072097,-0.4077131,-0.08686149,0.899171,11.43136,16.31984,-30.98344,990.042
0.575319290,-0.1052814,-0.001939199,0.03017807,-0.4116625,-0.07862894,0.9004384,11.43136,16.31984,-30.98344,990.042
0.582695007,-0.2287658,-0.06109602,0.09116331,-0.408713,-0.082971,0.8993039,11.43136,16.31984,-30.98344,990.042
0.587612629,-0.04321772,-0.06113208,-0.09157137,-0.4111553,-0.08685619,0.8972573,11.43136,16.31984,-30.98344,990.042
