Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,4.408609,34.44921,94.41071
0.004918575,4.408012,34.44793,94.41295
0.009836674,4.408013,34.44763,94.4157
0.014755249,4.408125,34.44788,94.42026
0.022132397,4.40854,34.44864,94.42863
0.027050972,4.409996,34.44952,94.43517
0.031969547,4.411209,34.44971,94.44086
0.036887646,4.412428,34.44827,94.44395
0.041806221,4.411991,34.44884,94.44847
0.046724796,4.412927,34.44884,94.452
0.051642895,4.414497,34.44891,94.45195
0.056561470,4.416321,34.44875,94.45159
0.061479568,4.416553,34.45031,94.45229
0.066398144,4.416809,34.4507,94.4517
0.071316719,4.417193,34.45047,94.44939
0.076234818,4.418935,34.45043,94.45016
0.081153393,4.418489,34.45093,94.44991
0.088531017,4.419464,34.45053,94.44834
0.093449116,4.420504,34.45056,94.44791
0.098367691,4.421042,34.44979,94.44373
0.103286266,4.422741,34.45069,94.4415
0.108204365,4.422996,34.45076,94.43699
0.113122940,4.423596,34.45201,94.43477
0.118041515,4.423427,34.45134,94.43064
0.122959614,4.423319,34.45065,94.42604
0.127878189,4.423636,34.45004,94.4222
0.132796288,4.423877,34.44868,94.41711
0.137714863,4.423996,34.44884,94.41309
0.142633438,4.42387,34.4494,94.40936
0.150010586,4.422793,34.45002,94.40729
0.154929161,4.423058,34.45003,94.40842
0.159847736,4.423927,34.45003,94.41004
0.164765835,4.424576,34.45006,94.41155
0.169684410,4.425129,34.45102,94.4138
0.174602985,4.42551,34.44992,94.41346
0.179526329,4.425241,34.4502,94.41469
0.184439659,4.42452,34.45021,94.41467
0.189357758,4.424859,34.45155,94.4178
0.194276333,4.424623,34.45037,94.41859
0.199194908,4.423794,34.45045,94.41889
0.204113007,4.424083,34.44991,94.41906
0.209031582,4.425127,34.45037,94.4207
0.213950157,4.424197,34.4506,94.42125
0.221327305,4.423715,34.4507,94.42219
0.226245880,4.424804,34.45028,94.42425
0.231164455,4.424973,34.44887,94.42263
0.236082554,4.424695,34.45035,94.42522
0.241001129,4.424558,34.45142,94.42703
0.245919228,4.424373,34.45102,94.42566
0.250837803,4.424542,34.45122,94.42302
0.255756378,4.424887,34.45195,94.42216
0.260674477,4.425244,34.45233,94.42144
0.265593052,4.426002,34.45081,94.4183
0.270511627,4.425614,34.4522,94.41646
0.275429726,4.425417,34.45208,94.41291
0.280348301,4.425826,34.45229,94.41145
0.285266876,4.42547,34.45176,94.40821
0.290184498,4.425521,34.4514,94.40596
0.297562599,4.424449,34.45206,94.4034
0.302481175,4.423882,34.45226,94.40321
0.307399273,4.422302,34.45164,94.39969
0.312317848,4.422736,34.45222,94.39952
0.317235947,4.421811,34.45263,94.39631
0.322154522,4.4215,34.45232,94.39472
0.327073097,4.421197,34.45197,94.39192
