Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.08018526,-0.02848563,-0.1003889,-0.5618649,0.1582213,0.7873959,18.46733,-17.7794,-28.17741,992.002
0.004919052,-0.2656479,-0.02848563,-0.1613452,-0.5643435,0.1616383,0.7860692,18.46733,-17.7794,-28.17741,992.002
0.012298584,-0.203827,0.03076602,-0.1613452,-0.5627756,0.1595296,0.7952139,18.46733,-17.7794,-28.17741,992.002
0.017217636,-0.01836437,-0.1469889,-0.2223015,-0.5599082,0.1606489,0.7889143,18.46733,-17.7794,-28.17741,992.002
0.022137165,-0.1420061,-0.08773727,-0.1003889,-0.5603396,0.1561942,0.7921737,18.47293,-18.51269,-28.19988,992.0002
0.027056217,-0.08018526,-0.02848563,-0.2832578,-0.5642965,0.155762,0.787337,18.47293,-18.51269,-28.19988,992.0002
0.031975746,-0.08018526,-0.08773727,-0.1613452,-0.5627965,0.1590875,0.7927722,18.47293,-18.51269,-28.19988,992.0002
0.036894798,-0.3274688,-0.2062406,-0.1003889,-0.5652748,0.1591288,0.7893951,18.47293,-18.51269,-28.19988,992.0002
0.041813373,-0.08018526,-0.02848563,-0.2223015,-0.563805,0.1586547,0.7893679,18.47293,-18.51269,-28.19988,992.0002
0.046732902,-0.203827,-0.2062406,-0.03943261,-0.5632629,0.1542179,0.7921344,18.47293,-18.51269,-28.19988,992.0002
0.051651954,-0.2656479,-0.02848563,-0.1003889,-0.5642622,0.1571427,0.7917508,18.47293,-18.51269,-28.19988,992.0002
0.056571483,-0.1420061,-0.08773727,0.02152368,-0.5613198,0.155707,0.7916806,18.47293,-18.51269,-28.19988,992.0002
0.061490536,-0.08018526,0.03076602,-0.2223015,-0.5647189,0.1580405,0.7956676,18.47293,-18.51269,-28.19988,992.0002
0.066410064,-0.1420061,-0.08773727,0.02152368,-0.5613078,0.1585771,0.7946857,18.47293,-18.51269,-28.19988,992.0002
0.071329117,-0.01836437,0.09001766,-0.1613452,-0.5627141,0.1594117,0.8015215,19.15554,-18.15186,-28.18717,992.0002
0.076248646,-0.203827,-0.1469889,0.08247998,-0.5638067,0.1639619,0.7924513,19.15554,-18.15186,-28.18717,992.0002
0.083627224,-0.203827,-0.2062406,0.08247998,-0.5627722,0.1580764,0.7946817,19.15554,-18.15186,-28.18717,992.0002
0.088546276,-0.08018526,0.09001766,-0.1003889,-0.562336,0.162522,0.7919074,19.15554,-18.15186,-28.18717,992.0002
0.093465805,-0.1420061,0.2085209,0.02152368,-0.5651697,0.1512122,0.7954524,19.15554,-18.15186,-28.18717,992.0002
0.098384857,0.04345652,0.09001766,0.02152368,-0.5623495,0.1615834,0.7899353,19.15554,-18.15186,-28.18717,992.0002
0.103304386,-0.203827,-0.02848563,0.02152368,-0.5647473,0.1580949,0.7927564,19.15554,-18.15186,-28.18717,992.0002
0.108223438,0.1670983,-0.02848563,-0.1003889,-0.5642697,0.1576391,0.7912812,19.15554,-18.15186,-28.18717,992.0002
0.113142967,-0.01836437,-0.08773727,0.1434363,-0.5628037,0.1562083,0.7902523,19.15554,-18.15186,-28.18717,992.0002
0.118062019,-0.01836437,0.03076602,0.02152368,-0.5661892,0.1561048,0.794161,19.15554,-18.15186,-28.18717,992.0002
0.122981548,0.04345652,-0.2062406,0.08247998,-0.5632597,0.1561404,0.7936526,18.47049,-17.48875,-27.72111,992.0002
0.127900600,-0.203827,0.03076602,0.1434363,-0.561896,0.1587631,0.7845003,18.47049,-17.48875,-27.72111,992.0002
0.132823467,-0.1420061,-0.2062406,0.2043926,-0.5603473,0.1600663,0.7937546,18.47049,-17.48875,-27.72111,992.0002
0.137739181,-0.203827,0.03076602,0.08247998,-0.5608654,0.1610821,0.7913637,18.47049,-17.48875,-27.72111,992.0002
0.145117760,-0.08018526,-0.1469889,0.2043926,-0.5662428,0.1581361,0.7898567,18.47049,-17.48875,-27.72111,992.0002
0.150037288,-0.1420061,0.03076602,0.02152368,-0.5628642,0.161146,0.7870123,18.47049,-17.48875,-27.72111,992.0002
0.154956341,0.04345652,0.03076602,0.2043926,-0.5666711,0.1589795,0.7966848,18.47049,-17.48875,-27.72111,992.0002
0.159875870,-0.01836437,0.1492693,0.08247998,-0.5623191,0.1620073,0.7933474,18.47049,-17.48875,-27.72111,992.0002
0.164794922,0.1052774,-0.02848563,0.08247998,-0.5642524,0.1629101,0.7963054,18.47049,-17.48875,-27.72111,992.0002
0.169714451,-0.01836437,0.03076602,0.2043926,-0.5623218,0.1624948,0.793363,18.85229,-18.53074,-27.75214,992.0002
0.174633503,0.1052774,0.09001766,0.2043926,-0.5622903,0.1552016,0.7921579,18.85229,-18.53074,-27.75214,992.0002
0.179553032,0.1052774,0.09001766,0.1434363,-0.5627754,0.1561539,0.7931635,18.85229,-18.53074,-27.75214,992.0002
0.184472084,0.04345652,-0.02848563,0.02152368,-0.5637505,0.1614432,0.7967398,18.85229,-18.53074,-27.75214,991.9986
0.189391613,0.1670983,0.09001766,-0.2223015,-0.5647271,0.1595028,0.7957146,18.85229,-18.53074,-27.75214,991.9986
0.194310188,-0.1420061,0.03076602,0.08247998,-0.5613508,0.1562488,0.788785,18.85229,-18.53074,-27.75214,991.9986
0.199229240,0.04345652,0.03076602,0.2043926,-0.5642563,0.1585777,0.7932534,18.85229,-18.53074,-27.75214,991.9986
0.204148769,-0.08018526,0.1492693,0.08247998,-0.5622572,0.1551381,0.7955544,18.85229,-18.53074,-27.75214,991.9986
0.209067821,-0.1420061,0.09001766,0.2653489,-0.5638254,0.1606225,0.78846,18.85229,-18.53074,-27.75214,991.9986
0.216447353,-0.01836437,0.09001766,0.02152368,-0.5656999,0.1618947,0.7977413,18.85229,-18.53074,-27.75214,991.9986
0.221366405,-0.01836437,0.03076602,0.1434363,-0.5647189,0.1580405,0.7956676,18.47293,-18.51269,-28.19988,991.9986
0.226285934,-0.1420061,0.2085209,0.1434363,-0.5588909,0.1586536,0.7917551,18.47293,-18.51269,-28.19988,991.9986
0.231204510,-0.01836437,-0.02848563,0.2043926,-0.563306,0.1610509,0.7918682,18.47293,-18.51269,-28.19988,991.9986
0.236123562,-0.01836437,-0.02848563,0.08247998,-0.562338,0.1620436,0.7914066,18.47293,-18.51269,-28.19988,991.9986
0.241043091,-0.01836437,0.1492693,0.08247998,-0.5633318,0.1639935,0.7909918,18.47293,-18.51269,-28.19988,991.9986
0.245962143,0.1052774,-0.08773727,0.2653489,-0.5637993,0.1634654,0.7929208,18.47293,-18.51269,-28.19988,991.9986
0.250881672,0.04345652,-0.02848563,0.08247998,-0.5608092,0.1585633,0.7956523,18.47293,-18.51269,-28.19988,991.9986
0.255800724,-0.08018526,-0.02848563,0.2043926,-0.5648007,0.1601262,0.7884521,18.47293,-18.51269,-28.19988,991.9986
0.260720253,0.04345652,-0.02848563,0.08247998,-0.5618082,0.1581124,0.7932183,18.47293,-18.51269,-28.19988,991.9986
0.265639305,-0.203827,-0.08773727,0.1434363,-0.5633336,0.1601395,0.7884405,18.47293,-18.51269,-28.19988,991.9986
0.270558834,-0.08018526,0.03076602,0.08247998,-0.5638249,0.1630324,0.7899939,18.85499,-18.17898,-27.29396,991.9986
0.275477886,-0.01836437,-0.1469889,0.2043926,-0.563814,0.1610827,0.7899312,18.85499,-18.17898,-27.29396,991.9986
0.280397415,-0.01836437,-0.1469889,0.08247998,-0.5642897,0.1653925,0.7939577,18.85499,-18.17898,-27.29396,991.9986
0.287775993,-0.08018526,0.2085209,0.02152368,-0.5589769,0.1631583,0.7855883,18.85499,-18.17898,-27.29396,991.9986
0.292695045,0.04345652,-0.02848563,0.1434363,-0.564788,0.1620306,0.7909408,18.85499,-18.17898,-27.29396,991.9986
0.297614574,0.1052774,-0.08773727,0.1434363,-0.564288,0.1600853,0.7908743,18.85499,-18.17898,-27.29396,991.9986
0.302533626,0.1052774,-0.02848563,0.1434363,-0.5613714,0.1615923,0.7899275,18.85499,-18.17898,-27.29396,991.9986
0.307453155,-0.203827,-0.08773727,0.08247998,-0.5643269,0.1553381,0.7839249,18.85499,-18.17898,-27.29396,991.9986
