Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.06318481,0.02207279,0.06309039,-0.5318856,0.1572443,0.8016846,31.54238,0.7018276,-37.29359,992.3768
0.002458572,0.06316493,0.08129889,0.002133403,-0.5323362,0.1595772,0.8071039,31.54238,0.7018276,-37.29359,992.3768
0.004918098,0.1249466,-0.2148917,-0.1197416,-0.5367904,0.1606029,0.802318,31.54238,0.7018276,-37.29359,992.3768
0.007376671,0.1867088,-0.03712517,-0.1806411,-0.5362852,0.1610585,0.8042706,31.54238,0.7018276,-37.29359,992.3768
0.009836197,0.001245702,0.1405856,-0.1805843,-0.5343722,0.1621235,0.8004048,31.54238,0.7018276,-37.29359,992.3795
0.012295246,-0.06055614,0.1405414,0.00228385,-0.5358326,0.1625796,0.8014025,31.54238,0.7018276,-37.29359,992.3795
0.014753819,0.06306583,0.1404972,0.002283152,-0.5328193,0.1610078,0.8086104,31.54238,0.7018276,-37.29359,992.3795
0.017213345,0.06304602,0.02198701,-0.05865471,-0.5318629,0.1615404,0.8066775,31.54238,0.7018276,-37.29359,992.3795
0.019671917,0.001224714,0.02198012,-0.1195735,-0.5318838,0.1610983,0.8042358,31.54238,0.7018276,-37.29359,992.3795
0.022131443,-0.06057714,0.08120622,-0.05859873,-0.5348576,0.1572903,0.7978261,31.54238,0.7018276,-37.29359,992.3795
0.024590015,-0.06055809,0.08118068,-0.1804546,-0.5338892,0.1606929,0.7988983,31.54238,0.7018276,-37.29359,992.3795
0.027049065,0.1248653,0.08115514,-0.1194607,-0.5333529,0.1606067,0.8037465,31.54238,0.7018276,-37.29359,992.3795
0.031967163,-0.06059812,-0.09657629,0.06338745,-0.5299073,0.1625238,0.8071785,31.54238,0.7018276,-37.29359,992.3795
0.034426689,-0.1223806,0.1403862,-0.180381,-0.5314447,0.1616808,0.7993955,31.54519,0.335183,-37.30482,992.3795
0.036885262,0.06306229,0.1403421,-0.1193873,-0.5313933,0.1625468,0.8052493,31.54519,0.335183,-37.30482,992.3795
0.039344311,-0.06056045,0.1402981,-0.1802869,-0.5367886,0.1644569,0.8048693,31.54519,0.335183,-37.30482,992.3795
