time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.008333;-5.727365;2.679220;7.498583;-0.003994;-0.021815;0.037461
0.016667;-5.738211;2.697801;7.502508;-0.009604;-0.024149;-0.003510
0.025000;-5.763481;2.686642;7.510442;0.007779;0.011045;0.027631
0.033333;-5.756303;2.684809;7.504775;-0.003059;-0.031461;0.018012
0.041667;-5.748768;2.705091;7.526567;0.001261;-0.001739;0.016892
0.050000;-5.748665;2.679031;7.532056;0.008777;0.002527;0.018966
0.058333;-5.749152;2.684847;7.497278;0.003300;0.004517;-0.002561
0.066667;-5.738254;2.690392;7.498847;-0.009492;-0.001815;0.007306
0.075000;-5.739890;2.690307;7.511703;0.007773;-0.010139;0.034088
0.083333;-5.767266;2.694159;7.499547;0.003452;-0.023964;0.030901
0.091667;-5.745615;2.697889;7.491701;0.011876;-0.025117;0.010272
0.100000;-5.759975;2.705274;7.503034;-0.009397;-0.008095;0.024584
0.108333;-5.745051;2.690177;7.531970;0.001315;0.011018;0.021220
0.116667;-5.756413;2.694153;7.497454;0.003313;-0.005006;0.002833
0.125000;-5.749179;2.686718;7.495448;-0.013829;-0.016705;0.001952
0.133333;-5.745362;2.697764;7.510005;0.005430;-0.014544;0.002795
0.141667;-5.748955;2.690322;7.511922;0.007599;-0.003926;0.003858
0.150000;-5.738088;2.701456;7.511660;0.018330;-0.000700;0.009125
0.158333;-5.745313;2.699597;7.513666;-0.011559;-0.001751;0.019210
0.166667;-5.738162;2.699635;7.506169;-0.002004;0.003499;0.006136
0.175000;-5.737904;2.693933;7.524473;0.014103;-0.005956;0.018891
0.183333;-5.738114;2.701469;7.509830;-0.007325;-0.013434;0.015908
0.191667;-5.727199;2.690285;7.511397;0.014023;-0.033569;0.014551
0.200000;-5.745397;2.682919;7.506343;0.028987;-0.003905;0.002518
0.208333;-5.739861;2.686577;7.513534;0.015198;-0.004883;0.022122
0.216667;-5.749190;2.697871;7.495449;-0.011518;0.001449;0.024615
0.225000;-5.754536;2.705265;7.502903;-0.011541;-0.027168;0.029995
0.233333;-5.745489;2.697827;7.500853;0.011875;-0.035707;0.013503
0.241667;-5.752801;2.683007;7.495536;0.003390;-0.018719;0.019023
0.250000;-5.749072;2.705243;7.504602;0.005477;-0.017687;0.011433
0.258333;-5.763595;2.699704;7.503121;0.009911;-0.018621;0.036223
