time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.002500;-5.460718;2.679725;7.817745;0.019378;-0.058187;-0.040527
0.005000;-5.460783;2.672509;7.810316;0.031860;-0.039256;-0.045808
0.007500;-5.471857;2.669218;7.791602;0.019150;-0.044716;-0.027279
0.010000;-5.466349;2.671112;7.784389;0.025046;-0.056367;-0.013237
0.012500;-5.464391;2.687526;7.788260;0.033401;-0.058385;-0.018744
0.015000;-5.460654;2.690826;7.810476;0.033163;-0.041777;-0.004381
0.017500;-5.457034;2.687351;7.795805;0.042955;-0.043558;-0.032796
0.020000;-5.466223;2.683630;7.804754;0.025296;-0.060415;-0.026381
0.022500;-5.467956;2.700241;7.797488;0.031643;-0.058229;-0.034018
0.025000;-5.464288;2.700237;7.795737;0.018109;-0.046837;-0.025130
0.027500;-5.449588;2.699998;7.803462;0.035807;-0.050870;-0.036136
0.030000;-5.460764;2.676227;7.806666;0.035730;-0.045665;-0.032795
0.032500;-5.453401;2.677940;7.810544;0.015711;-0.047010;-0.008752
0.035000;-5.464332;2.690913;7.806704;0.006882;-0.064580;-0.032927
0.037500;-5.473489;2.696626;7.797321;0.028656;-0.056084;-0.039440
0.040000;-5.475347;2.691009;7.806434;0.028430;-0.053065;-0.027402
0.042500;-5.477161;2.694716;7.804580;0.027333;-0.047878;-0.022979
0.045000;-5.467994;2.688920;7.819486;0.016208;-0.065566;-0.036235
0.047500;-5.460686;2.687217;7.806762;0.036480;-0.050009;-0.017572
0.050000;-5.460647;2.690770;7.814159;0.023170;-0.054183;-0.021947
0.052500;-5.471746;2.679931;7.810110;0.015345;-0.058151;-0.044878
0.055000;-5.471824;2.672826;7.795317;0.009248;-0.041384;-0.047950
0.057500;-5.479103;2.683990;7.787868;-0.001253;-0.038394;-0.035889
0.060000;-5.468062;2.685616;7.795519;0.017388;-0.035152;-0.041363
0.062500;-5.475425;2.683903;7.791641;0.004939;-0.054060;-0.038258
0.065000;-5.471798;2.676489;7.795349;-0.034202;-0.039510;-0.036902
0.067500;-5.486485;2.676617;7.794989;0.021522;-0.036173;-0.042469
