Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.01431488,-0.09911491,0.1096304,-0.5342677,0.1643339,0.8126132,36.25087,-6.961904,-34.25771,992.0889
0.004919529,-0.1996715,0.2562524,0.04866264,-0.5393154,0.172306,0.8012574,36.25087,-6.961904,-34.25771,992.0889
0.009843349,-0.01416106,0.1376439,0.04865122,-0.5435393,0.1531208,0.8079599,36.56242,-6.964545,-34.25704,992.0889
0.014758110,0.1712328,0.1376505,0.1095769,-0.5445626,0.1503054,0.8015662,36.56242,-6.964545,-34.25704,992.0889
0.019676685,0.3564909,-0.336263,0.4141747,-0.5368069,0.1760642,0.8100969,36.56242,-6.964545,-34.25704,992.0889
0.027055740,0.1090462,0.1969463,0.04827644,-0.5358686,0.1756673,0.8057067,36.56242,-6.964545,-34.25704,992.0889
0.031975269,0.1089971,0.2560742,-0.07360902,-0.5440366,0.1637398,0.8136454,36.56242,-6.964545,-34.25704,992.0889
0.036893845,-0.01467434,0.07827002,-0.01264477,-0.5382906,0.1698143,0.8045678,36.56242,-6.964545,-34.25704,992.0889
0.041812897,0.1089378,0.1966868,0.1092375,-0.528469,0.1693428,0.8083563,36.56242,-6.964545,-34.25704,992.0872
0.046732426,0.1089276,-0.04035024,-0.1954594,-0.536312,0.1683425,0.805961,36.56242,-6.964545,-34.25704,992.0872
0.051651478,0.04703825,0.2557658,0.0483928,-0.5445721,0.1503235,0.8005957,36.56242,-6.964545,-34.25704,992.0872
0.056571007,0.2941952,0.018673,0.1702367,-0.5406331,0.1589873,0.8086097,36.56242,-6.964545,-34.25704,992.0872
0.061490059,0.170388,-0.0405531,0.1091926,-0.5358066,0.1779592,0.8135482,36.25087,-6.961904,-34.25771,992.0872
0.066408634,0.2320824,-0.218264,0.1090282,-0.5324888,0.1801213,0.8038796,36.25087,-6.961904,-34.25771,992.0872
0.071328163,0.04659053,-0.04048349,0.04804176,-0.542235,0.1746621,0.8042701,36.25087,-6.961904,-34.25771,992.0872
0.076247215,-0.01524021,-0.09974699,0.1089679,-0.5362871,0.1697413,0.8094044,36.25087,-6.961904,-34.25771,992.0872
0.081166744,-0.0152112,0.3741427,-0.07385454,-0.5382299,0.161501,0.8057573,36.25087,-6.961904,-34.25771,992.0872
0.086085796,0.2937475,0.07789142,0.1699213,-0.5430882,0.1531978,0.8040744,36.25087,-6.961904,-34.25771,992.0872
0.091005325,0.3553838,0.01864667,0.2917079,-0.5426311,0.1672467,0.8093765,36.25087,-6.961904,-34.25771,992.0872
0.098383904,0.1697416,0.01857321,0.1086025,-0.5359493,0.1825728,0.8015589,36.25087,-6.961904,-34.25771,992.0872
0.103302956,-0.1393529,0.2554751,0.1694906,-0.5363182,0.1702831,0.8065088,36.25087,-6.961904,-34.25771,992.0872
0.108222485,0.1079017,0.136923,-0.01340816,-0.5382525,0.1663661,0.8063991,36.25648,-7.695193,-34.28018,992.0872
0.113141537,0.04605184,-0.04084343,0.04755656,-0.5407481,0.1702977,0.8036324,36.25648,-7.695193,-34.28018,992.0872
0.118060112,0.04602295,0.07759239,-0.07436675,-0.5387797,0.1698099,0.8045717,36.25648,-7.695193,-34.28018,992.0872
0.122979641,-0.01580743,-0.0408666,-0.01344034,-0.5348868,0.1708473,0.8031164,36.25648,-7.695193,-34.28018,992.0854
0.127898693,0.1078054,0.07760651,-0.01343191,-0.5406641,0.1686904,0.8113487,36.25648,-7.695193,-34.28018,992.0854
0.132818222,-0.01580702,0.07755769,0.04753281,-0.542681,0.1678248,0.80454,36.25648,-7.695193,-34.28018,992.0854
0.137737274,-0.0775791,0.07745315,-0.07437135,-0.538252,0.1687759,0.807933,36.25648,-7.695193,-34.28018,992.0854
0.142656803,-0.07754979,0.01817145,-0.01340662,-0.5352717,0.1672677,0.8117444,36.25648,-7.695193,-34.28018,992.0854
0.147575378,-0.0156996,0.136626,0.04751979,-0.5417423,0.1698377,0.8016837,36.25648,-7.695193,-34.28018,992.0854
0.154954433,0.1079181,0.2550192,-0.1353364,-0.5382027,0.1691636,0.8132858,36.25648,-7.695193,-34.28018,992.0854
0.159873962,0.04606823,-0.1005019,-0.1352514,-0.5377293,0.1711268,0.8128594,36.93348,-6.601069,-34.245,992.0854
